column,column_nat,column_type,table_list,table_cnt,type,sample_list
3gmode_support_yn,3GMod 지원여부,string,['dcmn_fclts_curst_mst_inf_1d'],1,string,"['Y', 'N']"
3gmode_use_yn,3GMod 사용여부값LTE Only 3GLTE,string,['dcmn_fclts_curst_mst_inf_1d'],1,string,"['Y', 'N']"
5g_new_data_cfi_qoe1_qos1_value,Data 서비스 접속 체감품질 접속 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.2, 0.3, 0.4]"
5g_new_data_cfi_qoe1_qos2_value,Data 서비스 접속 체감품질 RTT 성공지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.4, 0.5, 0.8]"
5g_new_data_cfi_qoe1_qos3_value,Data 서비스 접속 체감품질 DNS 성공지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.34, 0.89, 0.94]"
5g_new_data_cfi_qoe1_qos4_value,Data 서비스 접속 체감품질 DNS 재전송지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.5697, 0.6868, 0.9795]"
5g_new_data_cfi_qoe1_qos5_value,Data 서비스 접속 체감품질 HTTP 성공지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.435352, 0.511384, 0.673734]"
5g_new_data_cfi_qoe1_qos6_value,ATTACH 성공 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.16, 0.76, 0.99]"
5g_new_data_cfi_qoe2_qos1_value,Data 서비스 화면 전환속도 체감품질 Paging 응답시간 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.1, 0.1, 0.5]"
5g_new_data_cfi_qoe2_qos2_value,Data 서비스 화면 전환속도 체감품질 호처리 Setup 시간 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.01, 0.32, 0.63]"
5g_new_data_cfi_qoe2_qos3_value,Data 서비스 화면 전환속도 체감품질 DNS 응답시간 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.4, 0.5, 0.8]"
5g_new_data_cfi_qoe2_qos4_value,Data 서비스 화면 전환속도 체감품질 RTT 응답 시간 지표 ,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.0013738, 0.0409857, 0.6884982]"
5g_new_data_cfi_qoe2_qos5_value,Data 서비스 화면 전환속도 체감품질 RTT 응답 시간 지표 ,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.088, 0.407, 0.549]"
5g_new_data_cfi_qoe2_qos6_value,ATTACH 시간 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.1, 0.1, 1.0]"
5g_new_data_cfi_qoe3_qos1_value,Data 서비스 끊김 체감품질 CD 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.26690371, 0.42851885, 0.78102037]"
5g_new_data_cfi_qoe3_qos2_value,Data 서비스 끊김 체감품질 Buffering 시간 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.8, 0.9, 0.9]"
5g_new_data_cfi_qoe3_value,Data 서비스 끊김 체감품질,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.5684, 0.6599, 0.9498]"
5g_new_data_cfi_qoe4_qos1_value,Data 서비스 Throughput 체감품질 Throughput 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.09, 0.23, 0.78]"
5g_new_data_cfi_qoe4_value,Data 서비스 Throughput 체감품질,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.4, 0.5, 1.0]"
5g_new_data_cfi_qoe5_qos1_value,Data 서비스 음영 체감품질 NPR 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.1881, 0.4652, 0.9705]"
5g_new_data_cfi_qoe5_qos2_value,Data 서비스 음영 체감품질 3G 천이지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.7214, 0.8265, 0.858]"
5g_new_data_cfi_qoe5_qos3_value,Data 서비스 음영 체감품질 3G 사용시간지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.4938, 0.5022, 0.7481]"
5g_new_data_cfi_qoe5_qos4_value,Data 서비스 5G 사용비율 지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.1, 0.4, 0.5]"
5g_new_data_cfi_qoe5_value,Data 서비스 음영 체감품질,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.100825, 0.31721, 0.899291]"
5g_new_data_cfi_value,Data 서비스 체감품질,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.4212, 0.6547, 0.6611]"
5g_new_data_et,5G Data 서비스 경험 시간,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.1107, 0.156, 0.3167]"
5g_new_data_nei_qoe1_value,Data 서비스 접속 체감품질,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.0572409, 0.3776931, 0.9480512]"
5g_new_data_nei_qoe2_value,Data 서비스 화면 전환속도 체감품질,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.103281, 0.286676, 0.585961]"
5g_new_data_nei_value,new_data_nei_value,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.350359, 0.369796, 0.992182]"
5g_new_data_sei_qoe1_value,Data 서비스 무선 경험품질 aRTT 성공지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.439857, 0.905512, 0.952475]"
5g_new_data_sei_qoe2_value,Data 서비스 무선 경험품질 aRTT 응답시간지표,double,['dpsn_lte_nsn_cell_stc_1d'],1,number,"[0.05, 0.6, 0.99]"
