database,table,table_nat
o_tpani_cem,area_1d,4G 전국 CEI 일단위 집계 
o_tpani_cem,area_1h,4G 전국 CEI 시간단위 집계 
o_tpani_cem,area_age_1d,4G 전국 연령대별 CEI 일단위 집계 
o_tpani_cem,area_alias_1d,4G 전국 펫네임별 CEI 일단위 집계 
o_tpani_cem,area_alias_1h,4G 전국 펫네임별 CEI 시간단위 집계 
o_tpani_cem,area_alias_fw_1d,4G 전국 펫네임/펌웨어별 CEI 일단위 집계 
o_tpani_cem,area_alias_fw_1h,4G 전국 펫네임/펌웨어별 CEI 시간단위 집계 
o_tpani_cem,area_chg_1d,4G 전국 요금제별 CEI 일단위 집계 
o_tpani_cem,bran_1d,4G SKT 본부별 CEI 일단위 집계 
o_tpani_cem,bran_1h,4G SKT 본부별 CEI 시간단위 집계 
o_tpani_cem,bran_1m,4G SKT 본부별 CEI 월단위 집계 
o_tpani_cem,bran_1w,4G SKT 본부별 CEI 주단위 집계 
o_tpani_cem,bran_alias_1d,4G SKT 본부별/펫네임별 CEI 일단위 집계 
o_tpani_cem,bran_alias_fw_1d,4G SKT 본부별/펫네임/펌웨어별 CEI 일단위 집계 
o_tpani_cem,bran_alias_fw_1h,4G SKT 본부별/펫네임/펌웨어별 CEI 시간단위 집계 
o_tpani_cem,cell_1d,4G 쎌별 CEI 일단위 집계 
o_tpani_cem,cell_1h,4G 쎌별 CEI 시간단위 집계 
o_tpani_cem,cell_1m,4G 쎌별 CEI 월단위 집계 
o_tpani_cem,cell_1w,4G 쎌별 CEI 주단위 집계 
o_tpani_cem,city_1d,4G 시/도별 CEI 일단위 집계 
o_tpani_cem,city_1h,4G 시/도별 CEI 시간단위 집계 
o_tpani_cem,city_1m,4G 시/도별 CEI 월단위 집계 
o_tpani_cem,city_1w,4G 시/도별 CEI 주단위 집계 
o_tpani_cem,comp_1d,4G ONS 본부별 CEI 일단위 집계 
o_tpani_cem,comp_1h,4G ONS 본부별 CEI 시간단위 집계 
o_tpani_cem,comp_1m,4G ONS 본부별 CEI 월단위 집계 
o_tpani_cem,comp_1w,4G ONS 본부별 CEI 주단위 집계 
o_tpani_cem,dong_1d,4G 동별 CEI 일단위 집계 
o_tpani_cem,dong_1h,4G 동별 CEI 시간단위 집계 
o_tpani_cem,dong_1m,4G 동별 CEI 월단위 집계 
o_tpani_cem,dong_1w,4G 동별 CEI 주단위 집계 
o_tpani_cem,ems_1d,4G EMS별 CEI 일단위 집계 
o_tpani_cem,ems_1h,4G EMS별 CEI 시간단위 집계 
o_tpani_cem,enb_1d,4G 기지국별 CEI 일단위 집계 
o_tpani_cem,enb_1h,4G 기지국별 CEI 시간단위 집계 
o_tpani_cem,enb_1m,4G 기지국별 CEI 월단위 집계 
o_tpani_cem,enb_1w,4G 기지국별 CEI 주단위 집계 
o_tpani_cem,enb_alias_1d,4G 기지국/펫네임별 CEI 시간단위 집계 
o_tpani_cem,gu_1d,4G 구/군별 CEI 일단위 집계 
o_tpani_cem,gu_1h,4G 구/군별 CEI 시간단위 집계 
o_tpani_cem,gu_1m,4G 구/군별 CEI 월단위 집계 
o_tpani_cem,gu_1w,4G 구/군별 CEI 주단위 집계 
o_tpani_cem,imsi_area_1d,4G IMSI/전국 CEI 일단위 집계 
o_tpani_cem,imsi_area_1h,4G IMSI/전국 CEI 시간단위 집계 
o_tpani_cem,imsi_bran_1d,4G IMSI/본부별 CEI 일단위 집계 
o_tpani_cem,imsi_bran_1h,4G IMSI/본부별 CEI 시간단위 집계 
o_tpani_cem,imsi_cell_1d,4G IMSI/쎌별 CEI 일단위 집계 
o_tpani_cem,imsi_cell_1h,4G IMSI/쎌별 CEI 시간단위 집계 
